"filename", "language", "D", "C++", "C", "Markdown", "YAML", "XML", "Shell Script", "Python", "JSON", "Objective-C", "Properties", "comment", "blank", "total"
"/home/roman/X11F/source/Xext/namespace/hook-selection.c", "C", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 69
"/home/roman/X11F/source/Xext/namespace/hook-send.c", "C", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 54
"/home/roman/X11F/source/Xext/namespace/hook-server.c", "C", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39
"/home/roman/X11F/source/Xext/namespace/hook-windowproperty.c", "C", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 46
"/home/roman/X11F/source/Xext/namespace/hooks.h", "C++", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/home/roman/X11F/source/Xext/namespace/namespace.c", "C", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 98
"/home/roman/X11F/source/Xext/namespace/namespace.h", "C++", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 83
"/home/roman/X11F/source/Xext/panoramiX.d", "D", 976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 225, 1309
"/home/roman/X11F/source/Xext/panoramiXh.d", "D", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 77
"/home/roman/X11F/source/Xext/panoramiXprocs.d", "D", 2054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 539, 2662
"/home/roman/X11F/source/Xext/panoramiXsrv.d", "D", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 58
"/home/roman/X11F/source/Xext/px.d", "D", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 15, 125
"/home/roman/X11F/source/Xext/px.h", "C++", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 15, 124
"/home/roman/X11F/source/Xext/saver.d", "D", 1093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 162, 1334
"/home/roman/X11F/source/Xext/security.d", "D", 621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 159, 1008
